"0","0","0","0","0","0","0","0","0","0","15"
"0","0","0","0","0","0","0","0","0","0","10"
"0","0","0","0","0","0","0","0","0","0","18"
"0","0","0","0","0","0","0","0","0","0","14"
"0","0","0","0","0","0","0","0","0","0","34"
"0","0","0","0","0","0","0","0","0","0","73"
"0","0","0","0","0","0","0","0","0","0","77"
"0","0","0","7","0","0","0","0","0","0","6"
"0","0","0","2","0","0","0","0","0","0","15"
"0","0","0","0","0","0","0","0","0","0","15"
"0","0","0","0","0","0","0","0","0","0","23"
"0","0","0","0","0","2","0","0","0","0","73"
"0","0","0","0","0","0","0","0","0","0","31"
"0","0","7","0","0","10","0","0","0","0","22"
"0","0","0","0","0","0","0","0","0","0","11"
"0","0","0","0","0","0","0","0","15","0","18"
"0","0","18","0","0","0","0","0","0","0","31"
"0","0","7","0","0","0","0","0","0","0","68"
"0","0","0","0","0","0","0","0","0","0","11"
"0","0","0","0","0","0","0","0","0","0","15"
"10","0","0","100","42","0","0","0","0","0","6"
"34","0","0","65","11","0","0","0","0","0","3"
"0","0","0","0","0","0","0","0","0","0","14"
"0","0","0","0","0","0","0","0","0","0","2"
"0","0","0","72","128","0","1","0","0","0","11"
"0","0","0","51","46","0","0","0","0","0","18"
"39","0","0","0","0","0","0","0","0","0","18"
"2","0","0","0","6","0","0","0","0","0","11"
"300","0","0","0","0","0","0","0","0","0","80"
"0","0","0","0","0","0","0","0","0","0","6"
"0","0","0","0","14","0","0","0","0","0","11"
